Data_Point,Test_Time_s_,Step_Time_s_,Step_Index,Cycle_Index,I,V,ChargeCapacityAh,Discharge_CapacityAh,Charge_EnergyWh,Discharge_EnergyWh,dV_dt_V_s_,Internal_Resistance_Ohm_,Is_FC_Data,AC_Impedance_Ohm_,ACI_Phase_Angle_Deg_,T,SOC,QAccu
2029,20337,7200,6,1,0,3.6821,0.031144,0.99985,0.13082,3.7279,0,0,0,0,0,45,0.5,0
2030,20338,1.0157,7,1,-0.00025434,3.6813,0.031144,0.99985,0.13082,3.7279,0,0,0,0,0,45,0.5,-5.8097e-08
2031,20339,2.0312,7,1,-0.00025434,3.6813,0.031144,0.99985,0.13082,3.7279,0,0,0,0,0,45,0.5,-1.1469e-07
2032,20340,3.0313,7,1,-0.00025434,3.6812,0.031144,0.99985,0.13082,3.7279,-3.2425e-05,0,0,0,0,45,0.5,-1.6656e-07
2033,20341,4.0468,7,1,-7.4521e-05,3.6813,0.031144,0.99985,0.13082,3.7279,0,0,0,0,0,45,0.5,-2.2622e-07
2034,20342,5.0468,7,1,-0.00025434,3.6812,0.031144,0.99985,0.13082,3.7279,-3.2425e-05,0,0,0,0,45,0.5,-2.7157e-07
2035,20343,6.0626,7,1,-0.00025434,3.6813,0.031144,0.99985,0.13082,3.7279,0,0,0,0,0,45,0.5,-3.3038e-07
2036,20344,7.0781,7,1,-7.4521e-05,3.6812,0.031144,0.99985,0.13082,3.7279,-3.2425e-05,0,0,0,0,45,0.5,-3.8808e-07
2037,20346,8.0937,7,1,-0.00025434,3.6812,0.031144,0.99985,0.13082,3.7279,0,0,0,0,0,45,0.5,-4.3876e-07
2038,20347,9.0937,7,1,-0.00025434,3.6813,0.031144,0.99985,0.13082,3.7279,3.2425e-05,0,0,0,0,45,0.5,-4.938e-07
2039,20348,10.109,7,1,-7.4521e-05,3.6813,0.031144,0.99985,0.13082,3.7279,0,0,0,0,0,45,0.5,-5.5073e-07
2040,20349,11.125,7,1,-0.00025434,3.6812,0.031144,0.99985,0.13082,3.7279,-3.2425e-05,0,0,0,0,45,0.5,-6.1586e-07
2041,20350,12.125,7,1,-0.00025434,3.6812,0.031144,0.99985,0.13082,3.7279,-3.2425e-05,0,0,0,0,45,0.5,-6.7403e-07
2042,20351,13.141,7,1,-7.4521e-05,3.6812,0.031144,0.99985,0.13082,3.7279,-3.2425e-05,0,0,0,0,45,0.5,-7.4265e-07
2043,20352,14.156,7,1,-0.00025434,3.6812,0.031144,0.99985,0.13082,3.7279,-3.2425e-05,0,0,0,0,45,0.5,-7.9254e-07
2044,20353,15.172,7,1,-0.00043416,3.6812,0.031144,0.99985,0.13082,3.7279,-3.2425e-05,0,0,0,0,45,0.5,-8.4874e-07
2045,20354,16.172,7,1,-7.4521e-05,3.6813,0.031144,0.99985,0.13082,3.7279,3.2425e-05,0,0,0,0,45,0.5,-9.0302e-07
2046,20355,17.187,7,1,-0.49997,3.603,0.031144,0.99987,0.13082,3.728,-0.015623,0,0,0,0,45,0.49999,-1.7232e-05
2047,20356,18.203,7,1,-0.49961,3.6024,0.031144,1,0.13082,3.7285,-0.015785,0,0,0,0,45,0.49993,-0.00015828
2048,20357,19.219,7,1,-0.50015,3.6016,0.031144,1.0001,0.13082,3.729,-0.015947,0,0,0,0,45,0.49986,-0.00029934
2049,20358,20.234,7,1,-0.49997,3.6009,0.031144,1.0003,0.13082,3.7295,-0.016044,0,0,0,0,45,0.49979,-0.00044038
2050,20359,21.234,7,1,-0.49997,3.6005,0.031144,1.0004,0.13082,3.73,-0.016141,0,0,0,0,45,0.49973,-0.00057926
2051,20360,22.234,7,1,-0.49997,3.6001,0.031144,1.0006,0.13082,3.7305,-0.00055103,0,0,0,0,45,0.49966,-0.00071815
